MatchId,BotType,Result,TimeMs,TotalClicks
392,RandomBot,DEFEAT,0,5
393,RandomBot,VICTORY,0,1
394,RandomBot,VICTORY,0,1
395,RandomBot,DEFEAT,0,4
396,RandomBot,VICTORY,0,4
397,RandomBot,DEFEAT,0,5
398,RandomBot,DEFEAT,0,6
399,RandomBot,DEFEAT,0,2
400,RandomBot,DEFEAT,0,3
401,RandomBot,DEFEAT,0,7
402,RandomBot,DEFEAT,0,2
403,RandomBot,DEFEAT,0,3
404,RandomBot,DEFEAT,0,1
405,RandomBot,DEFEAT,0,2
406,RandomBot,DEFEAT,0,3
407,RandomBot,DEFEAT,0,2
408,RandomBot,DEFEAT,0,2
409,RandomBot,DEFEAT,0,3
410,RandomBot,DEFEAT,0,3
411,RandomBot,DEFEAT,0,4
412,RandomBot,DEFEAT,0,2
413,RandomBot,DEFEAT,0,4
414,RandomBot,DEFEAT,0,4
415,RandomBot,DEFEAT,0,3
416,RandomBot,DEFEAT,0,4
417,RandomBot,DEFEAT,0,3
418,RandomBot,DEFEAT,0,2
419,RandomBot,VICTORY,0,2
420,RandomBot,DEFEAT,0,4
421,RandomBot,DEFEAT,0,4
422,RandomBot,DEFEAT,0,4
423,RandomBot,DEFEAT,0,2
424,RandomBot,DEFEAT,0,2
425,RandomBot,DEFEAT,0,3
426,RandomBot,DEFEAT,0,3
427,RandomBot,DEFEAT,0,3
428,RandomBot,DEFEAT,0,2
429,RandomBot,VICTORY,0,3
430,RandomBot,DEFEAT,0,2
431,RandomBot,VICTORY,0,1
432,RandomBot,DEFEAT,0,1
433,RandomBot,DEFEAT,0,2
434,RandomBot,DEFEAT,0,2
435,RandomBot,DEFEAT,0,3
436,RandomBot,DEFEAT,0,5
437,RandomBot,DEFEAT,0,4
438,RandomBot,DEFEAT,0,3
439,RandomBot,VICTORY,0,3
440,RandomBot,DEFEAT,0,1
441,RandomBot,DEFEAT,0,7
442,RandomBot,VICTORY,0,1
443,RandomBot,DEFEAT,0,2
444,RandomBot,DEFEAT,0,4
445,RandomBot,DEFEAT,0,5
446,RandomBot,DEFEAT,0,5
447,RandomBot,DEFEAT,0,1
448,RandomBot,VICTORY,0,4
449,RandomBot,VICTORY,0,3
450,RandomBot,DEFEAT,0,2
451,RandomBot,DEFEAT,0,3
452,RandomBot,VICTORY,0,2
453,RandomBot,DEFEAT,0,2
454,RandomBot,VICTORY,0,3
455,RandomBot,DEFEAT,0,3
456,RandomBot,DEFEAT,0,4
457,RandomBot,DEFEAT,0,2
458,RandomBot,DEFEAT,0,3
459,RandomBot,DEFEAT,0,1
460,RandomBot,DEFEAT,0,5
461,RandomBot,DEFEAT,0,2
462,RandomBot,DEFEAT,0,4
463,RandomBot,DEFEAT,0,2
464,RandomBot,VICTORY,0,1
465,RandomBot,DEFEAT,0,2
466,RandomBot,DEFEAT,0,3
467,RandomBot,DEFEAT,0,2
468,RandomBot,VICTORY,0,2
469,RandomBot,VICTORY,0,2
470,RandomBot,DEFEAT,0,7
471,RandomBot,DEFEAT,0,5
472,RandomBot,DEFEAT,0,5
473,RandomBot,DEFEAT,0,3
474,RandomBot,DEFEAT,0,3
475,RandomBot,DEFEAT,0,5
476,RandomBot,DEFEAT,0,4
477,RandomBot,DEFEAT,0,4
478,RandomBot,DEFEAT,0,3
479,RandomBot,VICTORY,0,1
480,RandomBot,VICTORY,0,1
481,RandomBot,VICTORY,0,1
482,RandomBot,DEFEAT,0,4
483,RandomBot,VICTORY,0,2
484,RandomBot,DEFEAT,0,2
485,RandomBot,DEFEAT,0,3
486,RandomBot,VICTORY,0,3
487,RandomBot,DEFEAT,0,4
488,RandomBot,DEFEAT,0,2
489,RandomBot,DEFEAT,0,3
490,RandomBot,VICTORY,0,1
491,RandomBot,DEFEAT,0,4
492,RandomBot,DEFEAT,0,2
493,RandomBot,DEFEAT,0,3
494,RandomBot,DEFEAT,0,3
495,RandomBot,DEFEAT,0,3
496,RandomBot,DEFEAT,0,2
497,RandomBot,DEFEAT,0,2
498,RandomBot,DEFEAT,0,5
499,RandomBot,DEFEAT,0,2
500,RandomBot,VICTORY,0,4
501,RandomBot,DEFEAT,0,4
502,RandomBot,DEFEAT,0,5
503,RandomBot,DEFEAT,0,2
504,RandomBot,DEFEAT,0,2
505,RandomBot,VICTORY,0,4
506,RandomBot,VICTORY,0,3
507,RandomBot,DEFEAT,0,2
508,RandomBot,DEFEAT,0,3
509,RandomBot,DEFEAT,0,3
510,RandomBot,DEFEAT,0,3
511,RandomBot,DEFEAT,0,4
512,RandomBot,DEFEAT,0,4
513,RandomBot,DEFEAT,0,4
514,RandomBot,VICTORY,0,1
515,RandomBot,DEFEAT,0,2
516,RandomBot,DEFEAT,0,1
517,RandomBot,DEFEAT,0,3
518,RandomBot,VICTORY,0,1
519,RandomBot,VICTORY,0,1
520,RandomBot,VICTORY,0,4
521,RandomBot,DEFEAT,0,4
522,RandomBot,DEFEAT,0,5
523,RandomBot,VICTORY,0,2
524,RandomBot,DEFEAT,0,2
525,RandomBot,DEFEAT,0,4
526,RandomBot,DEFEAT,0,3
527,RandomBot,DEFEAT,0,2
528,RandomBot,VICTORY,0,2
529,RandomBot,DEFEAT,0,3
530,RandomBot,VICTORY,0,1
531,RandomBot,DEFEAT,0,6
532,RandomBot,DEFEAT,0,2
533,RandomBot,VICTORY,0,2
534,RandomBot,DEFEAT,0,6
535,RandomBot,DEFEAT,0,4
536,RandomBot,DEFEAT,0,5
537,RandomBot,VICTORY,0,2
538,RandomBot,DEFEAT,0,2
539,RandomBot,VICTORY,0,3
540,RandomBot,VICTORY,0,6
541,RandomBot,DEFEAT,0,3
542,RandomBot,DEFEAT,0,2
543,RandomBot,DEFEAT,0,2
544,RandomBot,VICTORY,0,1
545,RandomBot,DEFEAT,0,2
546,RandomBot,DEFEAT,0,2
547,RandomBot,DEFEAT,0,5
